word,graphemes
মানুষটা,"['মা', 'নু', 'ষ', 'টা']"
চেষ্ঠা,"['চে', 'ষ্ঠা']"
এজেন্ট,"['এ', 'জে', 'ন্ট']"
দক্ষিণপন্থী,"['দ', 'ক্ষি', 'ণ', 'প', 'ন্থী']"
ঘটলে,"['ঘ', 'ট', 'লে']"
ইচ্ছাকৃতভাবে,"['ই', 'চ্ছা', 'কৃ', 'ত', 'ভা', 'বে']"
নার্ভ,"['না', 'র্ভ']"
সঙ্কটের,"['স', 'ঙ্ক', 'টে', 'র']"
পাশ্চাত্ত্যের,"['পা', 'শ্চা', 'ত্ত্যে', 'র']"
বদ্ধমূল,"['ব', 'দ্ধ', 'মূ', 'ল']"
প্রতিপক্ষ,"['প্র', 'তি', 'প', 'ক্ষ']"
অনেকদিনের,"['অ', 'নে', 'ক', 'দি', 'নে', 'র']"
গোষ্ঠি,"['গো', 'ষ্ঠি']"
আশংকাও,"['আ', 'শ', 'ং', 'কা', 'ও']"
স্নায়ু,"['স্না', 'য়ু']"
দেশগুলো,"['দে', 'শ', 'গু', 'লো']"
গোয়েন্দাগিরি,"['গো', 'য়ে', 'ন্দা', 'গি', 'রি']"
সীমানা,"['সী', 'মা', 'না']"
পারমাণবিক,"['পা', 'র', 'মা', 'ণ', 'বি', 'ক']"
অন্যধরনের,"['অ', 'ন্য', 'ধ', 'র', 'নে', 'র']"
শশ্মান,"['শ', 'শ্মা', 'ন']"
উপগ্রহ,"['উ', 'প', 'গ্র', 'হ']"
মানসিকতায়,"['মা', 'ন', 'সি', 'ক', 'তা', 'য়']"
সংস্থাগুলো,"['স', 'ং', 'স্থা', 'গু', 'লো']"
সংস্থাগুলোকে,"['স', 'ং', 'স্থা', 'গু', 'লো', 'কে']"
শোনে,"['শো', 'নে']"
চাইছে,"['চা', 'ই', 'ছে']"
গুপ্তচরদের,"['গু', 'প্ত', 'চ', 'র', 'দে', 'র']"
আড়ি,"['আ', 'ড়ি']"
ধরণও,"['ধ', 'র', 'ণ', 'ও']"
পারতে,"['পা', 'র', 'তে']"
বদলাবে,"['ব', 'দ', 'লা', 'বে']"
সেগুলোকে,"['সে', 'গু', 'লো', 'কে']"
এমআইসিক্স,"['এ', 'ম', 'আ', 'ই', 'সি', 'ক্স']"
শোঁকার,"['শোঁ', 'কা', 'র']"
স্বাস্থ্যকেন্দ্র,"['স্বা', 'স্থ্য', 'কে', 'ন্দ্র']"
বিষয়গুলোর,"['বি', 'ষ', 'য়', 'গু', 'লো', 'র']"
অন্তর্ভূক্ত,"['অ', 'ন্ত', 'র্ভূ', 'ক্ত']"
কানে,"['কা', 'নে']"
তোলেননি,"['তো', 'লে', 'ন', 'নি']"
লাল,"['লা', 'ল']"
সেপ্টেম্বরের,"['সে', 'প্টে', 'ম্ব', 'রে', 'র']"
ঝুকিগুলোর,"['ঝু', 'কি', 'গু', 'লো', 'র']"
সন্ত্রাসী,"['স', 'ন্ত্রা', 'সী']"
সেক্ষেত্রে,"['সে', 'ক্ষে', 'ত্রে']"
রাজনীতিকরা,"['রা', 'জ', 'নী', 'তি', 'ক', 'রা']"
বিষয়টির,"['বি', 'ষ', 'য়', 'টি', 'র']"
মহামারিকে,"['ম', 'হা', 'মা', 'রি', 'কে']"
সাইবার,"['সা', 'ই', 'বা', 'র']"
সংশ্লিষ্টদের,"['স', 'ং', 'শ্লি', 'ষ্ট', 'দে', 'র']"
বাতির,"['বা', 'তি', 'র']"
এরপরেও,"['এ', 'র', 'প', 'রে', 'ও']"
সংরক্ষিত,"['স', 'ং', 'র', 'ক্ষি', 'ত']"
গোঁড়া,"['গোঁ', 'ড়া']"
ইহুদিদের,"['ই', 'হু', 'দি', 'দে', 'র']"
তথ্যভাণ্ডার,"['ত', 'থ্য', 'ভা', 'ণ্ডা', 'র']"
ব্যবহারকারী,"['ব্য', 'ব', 'হা', 'র', 'কা', 'রী']"
ইসরায়েলে,"['ই', 'স', 'রা', 'য়ে', 'লে']"
বিদ্বেষের,"['বি', 'দ্বে', 'ষে', 'র']"
কৌশল,"['কৌ', 'শ', 'ল']"
এসবই,"['এ', 'স', 'ব', 'ই']"
চিরাচরিত,"['চি', 'রা', 'চ', 'রি', 'ত']"
তাবলিগ,"['তা', 'ব', 'লি', 'গ']"
জনগোষ্ঠির,"['জ', 'ন', 'গো', 'ষ্ঠি', 'র']"
জৈব,"['জৈ', 'ব']"
এলেন,"['এ', 'লে', 'ন']"
আবেগ,"['আ', 'বে', 'গ']"
খুঁজতে,"['খুঁ', 'জ', 'তে']"
বলেছিলেন,"['ব', 'লে', 'ছি', 'লে', 'ন']"
খোজার,"['খো', 'জা', 'র']"
খুঁজছে,"['খুঁ', 'জ', 'ছে']"
ফোনের,"['ফো', 'নে', 'র']"
মেটাডেটা,"['মে', 'টা', 'ডে', 'টা']"
ইন্টালিজেন্স,"['ই', 'ন্টা', 'লি', 'জে', 'ন্স']"
কোনধরনের,"['কো', 'ন', 'ধ', 'র', 'নে', 'র']"
উপকারে,"['উ', 'প', 'কা', 'রে']"
তথ্যে,"['ত', 'থ্যে']"
টেস্টিং,"['টে', 'স্টি', 'ং']"
নেয়নি,"['নে', 'য়', 'নি']"
নির্ধারকদের,"['নি', 'র্ধা', 'র', 'ক', 'দে', 'র']"
ইসরায়েলী,"['ই', 'স', 'রা', 'য়ে', 'লী']"
গোয়েন্দারা,"['গো', 'য়ে', 'ন্দা', 'রা']"
গোপন,"['গো', 'প', 'ন']"
শীর্ষে,"['শী', 'র্ষে']"
হাউস,"['হা', 'উ', 'স']"
আনিয়েছে,"['আ', 'নি', 'য়ে', 'ছে']"
মোসাদ,"['মো', 'সা', 'দ']"
ওপরই,"['ও', 'প', 'র', 'ই']"
লাগাচ্ছে,"['লা', 'গা', 'চ্ছে']"
যন্ত্রাংশ,"['য', 'ন্ত্রা', 'ং', 'শ']"
হাসিলের,"['হা', 'সি', 'লে', 'র']"
রাজনীতিকদের,"['রা', 'জ', 'নী', 'তি', 'ক', 'দে', 'র']"
প্রশাসনও,"['প্র', 'শা', 'স', 'ন', 'ও']"
বিশ্বজুড়ে,"['বি', 'শ্ব', 'জু', 'ড়ে']"
জ্ন্য,['জ্ন্য']
দক্ষতাসম্পন্ন,"['দ', 'ক্ষ', 'তা', 'স', 'ম্প', 'ন্ন']"
সংগৃহীত,"['স', 'ং', 'গৃ', 'হী', 'ত']"
বিশেষজ্ঞদেরও,"['বি', 'শে', 'ষ', 'জ্ঞ', 'দে', 'র', 'ও']"
যৌক্তিক,"['যৌ', 'ক্তি', 'ক']"
চিত্রে,"['চি', 'ত্রে']"
সন্ত্রাসীরা,"['স', 'ন্ত্রা', 'সী', 'রা']"
কর্মকর্তার,"['ক', 'র্ম', 'ক', 'র্তা', 'র']"
জানালেন,"['জা', 'না', 'লে', 'ন']"
ঢুকলেন,"['ঢু', 'ক', 'লে', 'ন']"
যন্ত্রের,"['য', 'ন্ত্রে', 'র']"
চাকা,"['চা', 'কা']"
তৎপরতা,"['ত', 'ৎ', 'প', 'র', 'তা']"
প্রাদুর্ভাব,"['প্রা', 'দু', 'র্ভা', 'ব']"
কায়দায়,"['কা', 'য়', 'দা', 'য়']"
মিটিংরুমে,"['মি', 'টি', 'ং', 'রু', 'মে']"
অন্যরকম,"['অ', 'ন্য', 'র', 'ক', 'ম']"
এতদিন,"['এ', 'ত', 'দি', 'ন']"
গ্রহণে,"['গ্র', 'হ', 'ণে']"
লুকাচ্ছে,"['লু', 'কা', 'চ্ছে']"
হন্তদন্ত,"['হ', 'ন্ত', 'দ', 'ন্ত']"
গুপ্তচরবৃত্তি,"['গু', 'প্ত', 'চ', 'র', 'বৃ', 'ত্তি']"
কাটছে,"['কা', 'ট', 'ছে']"
পরীক্ষিত,"['প', 'রী', 'ক্ষি', 'ত']"
সদ্য,"['স', 'দ্য']"
নীতিনির্ধারকদের,"['নী', 'তি', 'নি', 'র্ধা', 'র', 'ক', 'দে', 'র']"
ছক,"['ছ', 'ক']"
রিপোর্টের,"['রি', 'পো', 'র্টে', 'র']"
দূরের,"['দূ', 'রে', 'র']"
সঙ্কেত,"['স', 'ঙ্কে', 'ত']"
হুশিয়ার,"['হু', 'শি', 'য়া', 'র']"
বাড়িতেও,"['বা', 'ড়ি', 'তে', 'ও']"
মানুষজনও,"['মা', 'নু', 'ষ', 'জ', 'ন', 'ও']"
হাঁচি,"['হাঁ', 'চি']"
বেড়াতে,"['বে', 'ড়া', 'তে']"
হলেন',"['হ', 'লে', 'ন', ""'""]"
চীফ,"['চী', 'ফ']"
মাস্কগুলোর,"['মা', 'স্ক', 'গু', 'লো', 'র']"
হ্যানকক,"['হ্যা', 'ন', 'ক', 'ক']"
ম্যাট,"['ম্যা', 'ট']"
টম,"['ট', 'ম']"
জোনাথন,"['জো', 'না', 'থ', 'ন']"
কাপড়ের,"['কা', 'প', 'ড়ে', 'র']"
স্বাস্থ্যসম্মত,"['স্বা', 'স্থ্য', 'স', 'ম্ম', 'ত']"
মাস্কগুলোকে,"['মা', 'স্ক', 'গু', 'লো', 'কে']"
এফত্রফপি৩,"['এ', 'ফ', 'ত্র', 'ফ', 'পি', '৩']"
হসপাতালে,"['হ', 'স', 'পা', 'তা', 'লে']"
অ্যাম্বুলেন্স,"['অ্যা', 'ম্বু', 'লে', 'ন্স']"
মাস্কের,"['মা', 'স্কে', 'র']"
এন৯৫,"['এ', 'ন', '৯', '৫']"
এফত্রফপি২,"['এ', 'ফ', 'ত্র', 'ফ', 'পি', '২']"
মানদণ্ড,"['মা', 'ন', 'দ', 'ণ্ড']"
পরিশোধনের,"['প', 'রি', 'শো', 'ধ', 'নে', 'র']"
যেগুলোয়,"['যে', 'গু', 'লো', 'য়']"
সেবাদানকারীরাও,"['সে', 'বা', 'দা', 'ন', 'কা', 'রী', 'রা', 'ও']"
বাছাই,"['বা', 'ছা', 'ই']"
মিটারের,"['মি', 'টা', 'রে', 'র']"
চশমার,"['চ', 'শ', 'মা', 'র']"
বাইরেও,"['বা', 'ই', 'রে', 'ও']"
অ্যাপ্রন,"['অ্যা', 'প্র', 'ন']"
সরঞ্জাম,"['স', 'র', 'ঞ্জা', 'ম']"
হাতমোজা,"['হা', 'ত', 'মো', 'জা']"
সাজিক্যাল,"['সা', 'জি', 'ক্যা', 'ল']"
ঝুঁকিতে,"['ঝুঁ', 'কি', 'তে']"
ভাইরাসটির,"['ভা', 'ই', 'রা', 'স', 'টি', 'র']"
মুখমণ্ডল,"['মু', 'খ', 'ম', 'ণ্ড', 'ল']"
ব্লাসিও,"['ব্লা', 'সি', 'ও']"
উপদ্রুত,"['উ', 'প', 'দ্রু', 'ত']"
স্কার্ফ,"['স্কা', 'র্ফ']"
বৃহস্পতিবার,"['বৃ', 'হ', 'স্প', 'তি', 'বা', 'র']"
মেয়র,"['মে', 'য়', 'র']"
এলাকাগুলোয়,"['এ', 'লা', 'কা', 'গু', 'লো', 'য়']"
প্রাদুর্ভাবের,"['প্রা', 'দু', 'র্ভা', 'বে', 'র']"
রাখেন,"['রা', 'খে', 'ন']"
সড়কে,"['স', 'ড়', 'কে']"
হেডফোন,"['হে', 'ড', 'ফো', 'ন']"
চলন্ত,"['চ', 'ল', 'ন্ত']"
একার,"['এ', 'কা', 'র']"
ত্রুটিপূর্ণ,"['ত্রু', 'টি', 'পূ', 'র্ণ']"
সমন্বিত,"['স', 'ম', 'ন্বি', 'ত']"
বেপরোয়া,"['বে', 'প', 'রো', 'য়া']"
প্রাণহানী,"['প্রা', 'ণ', 'হা', 'নী']"
ফিডার,"['ফি', 'ডা', 'র']"
অভারটেকিং,"['অ', 'ভা', 'র', 'টে', 'কি', 'ং']"
রাস্তাঘাটের,"['রা', 'স্তা', 'ঘা', 'টে', 'র']"
প্রতিবেদনেও,"['প্র', 'তি', 'বে', 'দ', 'নে', 'ও']"
হারেই,"['হা', 'রে', 'ই']"
সেবন,"['সে', 'ব', 'ন']"
রেলক্রসিংয়ে,"['রে', 'ল', 'ক্র', 'সি', 'ং', 'য়ে']"
প্রতিকারে,"['প্র', 'তি', 'কা', 'রে']"
নির্মাণক্রটি,"['নি', 'র্মা', 'ণ', 'ক্র', 'টি']"
ত্রুটি,"['ত্রু', 'টি']"
ফুটপাত,"['ফু', 'ট', 'পা', 'ত']"
মহাসড়ক,"['ম', 'হা', 'স', 'ড়', 'ক']"
নিসচা,"['নি', 'স', 'চা']"
অসতর্কতা,"['অ', 'স', 'ত', 'র্ক', 'তা']"
সড়কদুর্ঘটনার,"['স', 'ড়', 'ক', 'দু', 'র্ঘ', 'ট', 'না', 'র']"
রিপোর্ট,"['রি', 'পো', 'র্ট']"
অদক্ষ,"['অ', 'দ', 'ক্ষ']"
ফিটনেসবিহীন,"['ফি', 'ট', 'নে', 'স', 'বি', 'হী', 'ন']"
শণাক্ত,"['শ', 'ণা', 'ক্ত']"
যুদ্ধেও,"['যু', 'দ্ধে', 'ও']"
রোডের,"['রো', 'ডে', 'র']"
বলিষ্ঠ,"['ব', 'লি', 'ষ্ঠ']"
রোধের,"['রো', 'ধে', 'র']"
পথচারীদের,"['প', 'থ', 'চা', 'রী', 'দে', 'র']"
সড়কদূর্ঘটনা,"['স', 'ড়', 'ক', 'দূ', 'র্ঘ', 'ট', 'না']"
লক্ষাধিক,"['ল', 'ক্ষা', 'ধি', 'ক']"
বেদখলে,"['বে', 'দ', 'খ', 'লে']"
সুচারু,"['সু', 'চা', 'রু']"
খাগড়াছড়িতে,"['খা', 'গ', 'ড়া', 'ছ', 'ড়ি', 'তে']"
রাস্তাপারাপারের,"['রা', 'স্তা', 'পা', 'রা', 'পা', 'রে', 'র']"
১০৯৮টি,"['১', '০', '৯', '৮', 'টি']"
ধাক্কাসহ,"['ধা', 'ক্কা', 'স', 'হ']"
ঝালকাঠিতে,"['ঝা', 'ল', 'কা', 'ঠি', 'তে']"
চালাচ্ছে,"['চা', 'লা', 'চ্ছে']"
এরাই,"['এ', 'রা', 'ই']"
নিহতের,"['নি', 'হ', 'তে', 'র']"
সড়কদুর্ঘটনায়,"['স', 'ড়', 'ক', 'দু', 'র্ঘ', 'ট', 'না', 'য়']"
মোটরসাইকেলের,"['মো', 'ট', 'র', 'সা', 'ই', 'কে', 'লে', 'র']"
৬৪৮জন,"['৬', '৪', '৮', 'জ', 'ন']"
দুঃখজনকভাবে,"['দু', 'ঃ', 'খ', 'জ', 'ন', 'ক', 'ভা', 'বে']"
সোয়া,"['সো', 'য়া']"
পথচারীরা,"['প', 'থ', 'চা', 'রী', 'রা']"
জেব্রাক্রসিং,"['জে', 'ব্রা', 'ক্র', 'সি', 'ং']"
সাইকেলে,"['সা', 'ই', 'কে', 'লে']"
মোবাইল,"['মো', 'বা', 'ই', 'ল']"
৮৬৯৪টি,"['৮', '৬', '৯', '৪', 'টি']"
আন্ডারপাস,"['আ', 'ন্ডা', 'র', 'পা', 'স']"
বীপরিতে,"['বী', 'প', 'রি', 'তে']"
ফুটওভারব্রিজ,"['ফু', 'ট', 'ও', 'ভা', 'র', 'ব্রি', 'জ']"
ময়মনসিংহে,"['ম', 'য়', 'ম', 'ন', 'সি', 'ং', 'হে']"
ট্রাফিক,"['ট্রা', 'ফি', 'ক']"
দূর্ঘটনায়,"['দূ', 'র্ঘ', 'ট', 'না', 'য়']"
সড়কদুর্ঘটনা,"['স', 'ড়', 'ক', 'দু', 'র্ঘ', 'ট', 'না']"
পেছন,"['পে', 'ছ', 'ন']"
দূর্ঘটনা,"['দূ', 'র্ঘ', 'ট', 'না']"
চালকের,"['চা', 'ল', 'কে', 'র']"
দূর্ঘটনার,"['দূ', 'র্ঘ', 'ট', 'না', 'র']"
অবৈধভাবে,"['অ', 'বৈ', 'ধ', 'ভা', 'বে']"
পথচারী,"['প', 'থ', 'চা', 'রী']"
ফোনে,"['ফো', 'নে']"
নিসচার,"['নি', 'স', 'চা', 'র']"
অজ্ঞতা,"['অ', 'জ্ঞ', 'তা']"
মোটর,"['মো', 'ট', 'র']"
লাইসেন্স,"['লা', 'ই', 'সে', 'ন্স']"
জেলাভিত্তিক,"['জে', 'লা', 'ভি', 'ত্তি', 'ক']"
আহত,"['আ', 'হ', 'ত']"
আরোহী,"['আ', 'রো', 'হী']"
পারাপার,"['পা', 'রা', 'পা', 'র']"
চাপায়,"['চা', 'পা', 'য়']"
মোটরসাইকেল,"['মো', 'ট', 'র', 'সা', 'ই', 'কে', 'ল']"
সড়ক,"['স', 'ড়', 'ক']"
৬০৯০৩টি,"['৬', '০', '৯', '০', '৩', 'টি']"
৩০৯টি,"['৩', '০', '৯', 'টি']"
৭টি,"['৭', 'টি']"
পেয়েছেন,"['পে', 'য়ে', 'ছে', 'ন']"
খাবার,"['খা', 'বা', 'র']"
সিদ্ধান্তে,"['সি', 'দ্ধা', 'ন্তে']"
খানিকটা,"['খা', 'নি', 'ক', 'টা']"
লাগলে,"['লা', 'গ', 'লে']"
এটাও,"['এ', 'টা', 'ও']"
বিপক্ষে,"['বি', 'প', 'ক্ষে']"
নাকের,"['না', 'কে', 'র']"
প্রতিরক্ষাই,"['প্র', 'তি', 'র', 'ক্ষা', 'ই']"
পৌঁছেছিলেন,"['পৌঁ', 'ছে', 'ছি', 'লে', 'ন']"
নিঃসরণ,"['নি', 'ঃ', 'স', 'র', 'ণ']"
ফ্লুতে,"['ফ্লু', 'তে']"
প্রদাহ,"['প্র', 'দা', 'হ']"
শ্বাসের,"['শ্বা', 'সে', 'র']"
হাঁচির,"['হাঁ', 'চি', 'র']"
এনজাইম,"['এ', 'ন', 'জা', 'ই', 'ম']"
লালা,"['লা', 'লা']"
কোষগুলো,"['কো', 'ষ', 'গু', 'লো']"
ভোগার,"['ভো', 'গা', 'র']"
কোভ,"['কো', 'ভ']"
সার্স,"['সা', 'র্স']"
অতীতে,"['অ', 'তী', 'তে']"
সেখানকার,"['সে', 'খা', 'ন', 'কা', 'র']"
থাকুন,"['থা', 'কু', 'ন']"
পাত্রে,"['পা', 'ত্রে']"
ত্বক,"['ত্ব', 'ক']"
পৌঁছাবে,"['পৌঁ', 'ছা', 'বে']"
দেশগুলিতে,"['দে', 'শ', 'গু', 'লি', 'তে']"
পুড়ে,"['পু', 'ড়ে']"
বাড়লো,"['বা', 'ড়', 'লো']"
বেশিক্ষণ,"['বে', 'শি', 'ক্ষ', 'ণ']"
ক্ষতের,"['ক্ষ', 'তে', 'র']"
সেলসিয়াসেই,"['সে', 'ল', 'সি', 'য়া', 'সে', 'ই']"
রান্না,"['রা', 'ন্না']"
গোসল,"['গো', 'স', 'ল']"
তাপে,"['তা', 'পে']"
থাকতেও,"['থা', 'ক', 'তে', 'ও']"
ধরণে,"['ধ', 'র', 'ণে']"
তাপমাত্রায়,"['তা', 'প', 'মা', 'ত্রা', 'য়']"
গার্গলে,"['গা', 'র্গ', 'লে']"
গড়গড়া,"['গ', 'ড়', 'গ', 'ড়া']"
প্রতিলিপি,"['প্র', 'তি', 'লি', 'পি']"
ক্ষুদ্রাতিক্ষুদ্র,"['ক্ষু', 'দ্রা', 'তি', 'ক্ষু', 'দ্র']"
সার্সের,"['সা', 'র্সে', 'র']"
ফোঁটা,"['ফোঁ', 'টা']"
ফারেনহাইট,"['ফা', 'রে', 'ন', 'হা', 'ই', 'ট']"
কপি,"['ক', 'পি']"
গলার,"['গ', 'লা', 'র']"
ডিগ্রী,"['ডি', 'গ্রী']"
প্রথমদিকের,"['প্র', 'থ', 'ম', 'দি', 'কে', 'র']"
কোষটি,"['কো', 'ষ', 'টি']"
ভাইরাসটি,"['ভা', 'ই', 'রা', 'স', 'টি']"
মানবশরীরের,"['মা', 'ন', 'ব', 'শ', 'রী', 'রে', 'র']"
ধুয়ে,"['ধু', 'য়ে']"
পৌছানো,"['পৌ', 'ছা', 'নো']"
কোষের,"['কো', 'ষে', 'র']"
কোষে,"['কো', 'ষে']"
নিয়মিতভাবে,"['নি', 'য়', 'মি', 'ত', 'ভা', 'বে']"
বিজ্ঞানসম্মত,"['বি', 'জ্ঞা', 'ন', 'স', 'ম্ম', 'ত']"
মিশ্রিত,"['মি', 'শ্রি', 'ত']"
বাড়া,"['বা', 'ড়া']"
ফেলবেন,"['ফে', 'ল', 'বে', 'ন']"
ডিগ্রি,"['ডি', 'গ্রি']"
অ্যাটাক,"['অ্যা', 'টা', 'ক']"
চায়ের,"['চা', 'য়ে', 'র']"
ধোয়া,"['ধো', 'য়া']"
নির্দেশাবলী,"['নি', 'র্দে', 'শা', 'ব', 'লী']"
রক্ষার,"['র', 'ক্ষা', 'র']"
পানীয়ের,"['পা', 'নী', 'য়ে', 'র']"
একেলিস,"['এ', 'কে', 'লি', 'স']"
বিক্ষিপ্ত,"['বি', 'ক্ষি', 'প্ত']"
ফিউচার,"['ফি', 'উ', 'চা', 'র']"
তারই,"['তা', 'র', 'ই']"
বার্তাগুলোয়,"['বা', 'র্তা', 'গু', 'লো', 'য়']"
দুর,"['দু', 'র']"
বক্ষব্যাধি,"['ব', 'ক্ষ', 'ব্যা', 'ধি']"
পরামর্শের,"['প', 'রা', 'ম', 'র্শে', 'র']"
আরামবোধ,"['আ', 'রা', 'ম', 'বো', 'ধ']"
ইউনিসেফ,"['ই', 'উ', 'নি', 'সে', 'ফ']"
মনকে,"['ম', 'ন', 'কে']"
সম্পর্কিত,"['স', 'ম্প', 'র্কি', 'ত']"
বেড়াচ্ছে,"['বে', 'ড়া', 'চ্ছে']"
রন,"['র', 'ন']"
মানুষজনের,"['মা', 'নু', 'ষ', 'জ', 'নে', 'র']"
পানীয়,"['পা', 'নী', 'য়']"
একটিতে,"['এ', 'ক', 'টি', 'তে']"
এতোটাই,"['এ', 'তো', 'টা', 'ই']"
কাপ,"['কা', 'প']"
ব্যাক্তিগত,"['ব্যা', 'ক্তি', 'গ', 'ত']"
সাতদিনে,"['সা', 'ত', 'দি', 'নে']"
জন্মশতবার্ষিকীর,"['জ', 'ন্ম', 'শ', 'ত', 'বা', 'র্ষি', 'কী', 'র']"
প্রতিষ্ঠাতা,"['প্র', 'তি', 'ষ্ঠা', 'তা']"
উদযাপনের,"['উ', 'দ', 'যা', 'প', 'নে', 'র']"
আটই,"['আ', 'ট', 'ই']"
রাষ্ট্রপতি,"['রা', 'ষ্ট্র', 'প', 'তি']"
সীমিতভাবে,"['সী', 'মি', 'ত', 'ভা', 'বে']"
কয়েকমাস,"['ক', 'য়ে', 'ক', 'মা', 'স']"
ব্যক্তিকে,"['ব্য', 'ক্তি', 'কে']"
গ্রাউন্ডের,"['গ্রা', 'উ', 'ন্ডে', 'র']"
প্যারেড,"['প্যা', 'রে', 'ড']"
জন্মশতবার্ষিকী,"['জ', 'ন্ম', 'শ', 'ত', 'বা', 'র্ষি', 'কী']"
অনুষ্ঠানটিও,"['অ', 'নু', 'ষ্ঠা', 'ন', 'টি', 'ও']"
কর্মক্ষেত্রে,"['ক', 'র্ম', 'ক্ষে', 'ত্রে']"
একসপ্তাহ,"['এ', 'ক', 'স', 'প্তা', 'হ']"
বৈশাখের,"['বৈ', 'শা', 'খে', 'র']"
৪ঠা,"['৪', 'ঠা']"
তেসরা,"['তে', 'স', 'রা']"
অভিযোগও,"['অ', 'ভি', 'যো', 'গ', 'ও']"
আক্রান্তরা,"['আ', 'ক্রা', 'ন্ত', 'রা']"
সন্দেহে,"['স', 'ন্দে', 'হে']"
আটজনে,"['আ', 'ট', 'জ', 'নে']"
দফায়,"['দ', 'ফা', 'য়']"
২৯শে,"['২', '৯', 'শে']"
২৮শে,"['২', '৮', 'শে']"
মানবজমিন,"['মা', 'ন', 'ব', 'জ', 'মি', 'ন']"
২৭শে,"['২', '৭', 'শে']"
বলেও,"['ব', 'লে', 'ও']"
কলেবর,"['ক', 'লে', 'ব', 'র']"
দু'জন,"['দু', ""'"", 'জ', 'ন']"
পত্রিকা,"['প', 'ত্রি', 'কা']"
পেরেছেন,"['পে', 'রে', 'ছে', 'ন']"
কনফারেন্সে,"['ক', 'ন', 'ফা', 'রে', 'ন্সে']"
আইসিডিডিআরবিকেও,"['আ', 'ই', 'সি', 'ডি', 'ডি', 'আ', 'র', 'বি', 'কে', 'ও']"
প্রিন্টিং,"['প্রি', 'ন্টি', 'ং']"
বেনজীর,"['বে', 'ন', 'জী', 'র']"
মিস,"['মি', 'স']"
বিতরণ,"['বি', 'ত', 'র', 'ণ']"
কর্মসূচি,"['ক', 'র্ম', 'সূ', 'চি']"
কোয়ারেন্টিনের,"['কো', 'য়া', 'রে', 'ন্টি', 'নে', 'র']"
সমন্বয়,"['স', 'ম', 'ন্ব', 'য়']"
নিয়ন্ত্রণের,"['নি', 'য়', 'ন্ত্র', 'ণে', 'র']"
সংরক্ষণ,"['স', 'ং', 'র', 'ক্ষ', 'ণ']"
ট্রেসিংও,"['ট্রে', 'সি', 'ং', 'ও']"
এতোদিন,"['এ', 'তো', 'দি', 'ন']"
চলাফেরা,"['চ', 'লা', 'ফে', 'রা']"
সমন্বিতভাবে,"['স', 'ম', 'ন্বি', 'ত', 'ভা', 'বে']"
মিশেছেন,"['মি', 'শে', 'ছে', 'ন']"
জনপ্রতিনিধি,"['জ', 'ন', 'প্র', 'তি', 'নি', 'ধি']"
কমতো,"['ক', 'ম', 'তো']"
সুযোগটা,"['সু', 'যো', 'গ', 'টা']"
কন্টাক্ট,"['ক', 'ন্টা', 'ক্ট']"
ঠিকানাও,"['ঠি', 'কা', 'না', 'ও']"
ভাইরোলজিস্ট,"['ভা', 'ই', 'রো', 'ল', 'জি', 'স্ট']"
জ্যামিতিক,"['জ্যা', 'মি', 'তি', 'ক']"
সাইফুল্লাহ,"['সা', 'ই', 'ফু', 'ল্লা', 'হ']"
ব্রাজিলের,"['ব্রা', 'জি', 'লে', 'র']"
মুন্সী,"['মু', 'ন্সী']"
মঙ্গলবারই,"['ম', 'ঙ্গ', 'ল', 'বা', 'র', 'ই']"
মুজিবুর,"['মু', 'জি', 'বু', 'র']"
সারাদেশে,"['সা', 'রা', 'দে', 'শে']"
তরফ,"['ত', 'র', 'ফ']"
জটিলতায়,"['জ', 'টি', 'ল', 'তা', 'য়']"
২৮টি,"['২', '৮', 'টি']"
কিডনি,"['কি', 'ড', 'নি']"
জন্মবার্ষিকীর,"['জ', 'ন্ম', 'বা', 'র্ষি', 'কী', 'র']"
ঘোষিত,"['ঘো', 'ষি', 'ত']"
ভুগছিলেন,"['ভু', 'গ', 'ছি', 'লে', 'ন']"
সাতই,"['সা', 'ত', 'ই']"
ছয়ই,"['ছ', 'য়', 'ই']"
৪৬৮টি,"['৪', '৬', '৮', 'টি']"
রোগটিতে,"['রো', 'গ', 'টি', 'তে']"
বিদেশফেরত,"['বি', 'দে', 'শ', 'ফে', 'র', 'ত']"
হার্ট,"['হা', 'র্ট']"
ডায়াবেটিস,"['ডা', 'য়া', 'বে', 'টি', 'স']"
বিদেশফেরতদের,"['বি', 'দে', 'শ', 'ফে', 'র', 'ত', 'দে', 'র']"
ফুসফুসে,"['ফু', 'স', 'ফু', 'সে']"
ইতালিফেরত,"['ই', 'তা', 'লি', 'ফে', 'র', 'ত']"
দশটি,"['দ', 'শ', 'টি']"
২০শে,"['২', '০', 'শে']"
হার্টের,"['হা', 'র্টে', 'র']"
অন্যজন,"['অ', 'ন্য', 'জ', 'ন']"
সত্তরোর্ধ,"['স', 'ত্ত', 'রো', 'র্ধ']"
রক্তচাপ,"['র', 'ক্ত', 'চা', 'প']"
রিংও,"['রি', 'ং', 'ও']"
তথ্যও,"['ত', 'থ্য', 'ও']"
চেয়ারপার্সন,"['চে', 'য়া', 'র', 'পা', 'র্স', 'ন']"
মুজিব,"['মু', 'জি', 'ব']"
শর্তসাপেক্ষে,"['শ', 'র্ত', 'সা', 'পে', 'ক্ষে']"
সাজা,"['সা', 'জা']"
