word,graphemes
দু'ত্রকজন,"['দু', ""'"", 'ত্র', 'ক', 'জ', 'ন']"
লিখিয়েছিলেন,"['লি', 'খি', 'য়ে', 'ছি', 'লে', 'ন']"
লোকালয়ের‍,"['লো', 'কা', 'ল', 'য়ে']"
দস্যুদলে,"['দ', 'স্যু', 'দ', 'লে']"
আসেননি,"['আ', 'সে', 'ন', 'নি']"
বিল্লাল,"['বি', 'ল্লা', 'ল']"
স্বজনেরা,"['স্ব', 'জ', 'নে', 'রা']"
থেকেছে,"['থে', 'কে', 'ছে']"
গঞ্জনা,"['গ', 'ঞ্জ', 'না']"
সইতে,"['স', 'ই', 'তে']"
পাড়াপ্রতিবেশিদের,"['পা', 'ড়া', 'প্র', 'তি', 'বে', 'শি', 'দে', 'র']"
হারুনের,"['হা', 'রু', 'নে', 'র']"
মার্জিয়া,"['মা', 'র্জি', 'য়া']"
গ্যারেজ,"['গ্যা', 'রে', 'জ']"
পারতাম,"['পা', 'র', 'তা', 'ম']"
দূরেই,"['দূ', 'রে', 'ই']"
পরিবারগুলোর,"['প', 'রি', 'বা', 'র', 'গু', 'লো', 'র']"
বেগমের,"['বে', 'গ', 'মে', 'র']"
ফজলু,"['ফ', 'জ', 'লু']"
নিকটজনকে,"['নি', 'ক', 'ট', 'জ', 'ন', 'কে']"
আরিফ,"['আ', 'রি', 'ফ']"
আব্বু,"['আ', 'ব্বু']"
বৈভব,"['বৈ', 'ভ', 'ব']"
বলতাম,"['ব', 'ল', 'তা', 'ম']"
লুব্রিকেন্ট,"['লু', 'ব্রি', 'কে', 'ন্ট']"
রোজগার,"['রো', 'জ', 'গা', 'র']"
ইঞ্জিনের,"['ই', 'ঞ্জি', 'নে', 'র']"
সৎ,"['স', 'ৎ']"
শুনলে,"['শু', 'ন', 'লে']"
কম্প্রেসরের,"['ক', 'ম্প্রে', 'স', 'রে', 'র']"
গ্যারেজে,"['গ্যা', 'রে', 'জে']"
গাছগাছালিতে,"['গা', 'ছ', 'গা', 'ছা', 'লি', 'তে']"
চেনে,"['চে', 'নে']"
স্পেয়ার,"['স্পে', 'য়া', 'র']"
